Brewery,BreweryID,State,Type
Avondale Brewing Co,2,Alabama,micro
Band of Brothers Brewing Company,4,Alabama,micro
Trim Tab Brewing,44,Alabama,micro
Yellowhammer Brewery,46,Alabama,micro
Bearpaw River Brewing Co,55,Alaska,micro
King Street Brewing Co,76,Alaska,micro
1912 Brewing,94,Arizona,micro
Bad Water Brewing,98,Arizona,contract
BJs Restaurant & Brewery - Chandler,104,Arizona,brewpub
BlackRock Brewers,107,Arizona,micro
Dragoon Brewing Co,127,Arizona,micro
Grand Canyon Brewing Company,141,Arizona,micro
Mudshark Brewing Co,163,Arizona,micro
Richter Aleworks,182,Arizona,micro
SanTan Brewing Co,187,Arizona,regional
State 48 Brewery,198,Arizona,brewpub
Wren House Brewing Company,219,Arizona,micro
Brick Oven Pizza Co / Brick & Forge Brewing,225,Arkansas,brewpub
Diamond Bear Brewing Co,235,Arkansas,micro
Lost Forty Brewing,247,Arkansas,micro
